Model,MAE,RMSE,nRMSE,Train Time,Inference Time
LightGBM,0.0211754709305764,0.0348225164628401,0.0405117110902859,0.1961410045623779,0.0143828392028808
LightGBM (tuned),0.0208952656983618,0.034538918210811,0.0401817794363179,66.41817212104797,0.0374867916107177
MLP,0.0209454831560208,0.0344644649371963,0.0400951622180125,2.954158067703247,0.0174407958984375
Chronos,0.1643076688051223,0.2319027287876817,0.2697902697721146,0.0,1.6221532441081017
Chronos (all-hrs),0.1046629324555397,0.1880881304429857,0.2188173796764795,0.0,1.6221532441081017
TimesFM,0.1240793094038963,0.1786128436751139,0.2077940502545444,0.0,0.0779679481971991
TimesFM (all-hrs),0.0625191256403923,0.1267529082561853,0.1474614011297172,0.0,0.0779679481971991
Moirai,0.2222581207752227,0.3262282225768961,0.3795263670953982,0.0,0.0175040238340136
Moirai (all-hrs),0.247542068362236,0.4306645296055343,0.5010251506351818,0.0,0.0175040238340136
TabPFN,0.045659951865673,0.0893202696714796,0.1039131353768984,11.576127052307127,2.581435758742928
TabPFN (all-hrs),0.0222865026444196,0.0622518482038014,0.072422360049471,11.576127052307127,2.581435758742928
Chronos (fine-tuned),0.16287826001644135,0.22366558484484064,0.26020736706929454,230.56797885894775,1.701426173599673
Chronos (fine-tuned) (all-hrs),0.10223816335201263,0.17908958802706362,0.20834868360447195,230.56797885894775,1.701426173599673
